occupation,age,education_level,marital_status,communication_channel,call_month,call_day,call_duration,call_frequency,previous_campaign_outcome,conversion_status
service_worker,37,high_school,single,unidentified,June,3,1045,3,unidentified,1
technical_specialist,36,college,married,mobile,January,29,313,1,unsuccessful,1
service_worker,30,college,single,mobile,August,21,1532,2,unidentified,1
executive,35,college,single,mobile,September,4,434,2,other_outcome,1
service_worker,40,high_school,divorced,mobile,February,2,531,1,successful,1
executive,41,college,single,mobile,July,21,1134,5,unidentified,1
retired_worker,78,high_school,divorced,mobile,May,12,309,1,successful,1
executive,42,college,married,unidentified,June,20,34,3,unidentified,0
manual_worker,47,high_school,married,unidentified,May,28,146,1,unidentified,0
manual_worker,34,high_school,married,mobile,June,1,339,1,unidentified,1
retired_worker,84,high_school,married,landline,December,28,679,1,other_outcome,1
executive,31,college,single,mobile,June,1,296,5,unidentified,1
independent_worker,39,high_school,married,unidentified,June,17,483,1,unidentified,0
independent_worker,26,college,single,mobile,May,18,245,1,unidentified,0
jobless,47,elementary_school,married,mobile,November,21,462,2,unidentified,1
technical_specialist,35,high_school,married,landline,December,9,220,2,unidentified,0
student,26,high_school,single,mobile,July,26,379,1,unsuccessful,0
administrative_staff,42,high_school,divorced,unidentified,June,18,185,4,unidentified,0
independent_worker,34,unidentified,divorced,mobile,July,8,245,1,unidentified,0
retired_worker,70,high_school,married,mobile,March,10,122,1,unidentified,1
executive,37,high_school,divorced,mobile,August,20,352,4,unidentified,0
manual_worker,34,elementary_school,married,mobile,November,21,1022,1,unidentified,1
executive,34,college,married,mobile,July,25,53,5,unidentified,0
retired_worker,66,college,married,mobile,August,6,550,1,unidentified,1
manual_worker,49,unidentified,married,mobile,August,7,88,2,unidentified,0
service_worker,27,high_school,married,mobile,July,22,1608,13,unidentified,1
executive,28,college,single,landline,August,27,157,2,other_outcome,1
technical_specialist,49,college,married,unidentified,May,19,168,4,unidentified,0
administrative_staff,56,high_school,married,mobile,June,14,458,1,successful,1
technical_specialist,30,high_school,married,mobile,August,11,96,2,unidentified,0
executive,33,college,single,landline,August,20,588,6,unidentified,1
jobless,56,elementary_school,married,mobile,February,3,330,3,unidentified,0
business_owner,37,high_school,single,mobile,May,15,317,1,unidentified,1
retired_worker,60,high_school,married,unidentified,June,6,39,4,unidentified,0
retired_worker,58,college,married,mobile,January,28,145,1,unidentified,0
independent_worker,32,high_school,married,mobile,March,9,217,2,unidentified,1
technical_specialist,31,college,single,mobile,April,17,997,1,unsuccessful,1
manual_worker,32,elementary_school,married,mobile,September,7,492,3,other_outcome,1
administrative_staff,36,unidentified,married,mobile,January,14,589,2,unidentified,1
manual_worker,34,high_school,married,unidentified,May,8,71,2,unidentified,0
executive,37,college,married,mobile,May,22,354,1,unidentified,1
manual_worker,56,elementary_school,married,mobile,January,29,129,1,unsuccessful,0
